Sample,Species,Taxon,10_0,2,3,12_0,5,13_0,7,8,14_0,10,14_1,12,15_0,14,15,16_0,16_1,18,17_0,17_1,21,18_0,18_1,24,25,18_2,27,18_3n6,29,30,18_3n3,32,33,20_0,20_1,20_2,37,20_3n6,39,20_4n6,20_3n3,42,43,44,20_5n3,22_0,47,22_1,49,50,51,22_2,53,22_4,55,22_5,24_0,22_6n4__24_1(comb),60
IAC1_A,acr,fish,0.000605886,0,0,0.000653005,0,0.013432183,0,0,0.031059009,0,0.005551583,0.001861345,0.007872038,0.004590706,0.000956877,0.1693939,0.072318322,0.006829866,0.02180363,0.0103421,0.00102221,0.08488103,0.10996225,0,0.001135838,0.019109047,0.003369638,0.004525327,0.010524054,0,0.017095465,0.006036803,0.001145097,0.002299067,0.017184685,0.002509682,0,0.003565673,0,0.056466331,0.002941706,0,0.013991015,0,0.135114165,0,0,0,0.001925881,0,0,0,0.004213431,0.008888421,0.013205649,0.040478369,0,0.091138714,0
IAC2_A,acr,fish,0,0,0,0.001561339,0,0.006960751,0,0,0.043819024,0,0.00230316,0.005026413,0.008252871,0.00128174,0.001244064,0.153207637,0.090218517,0.007380516,0.021088832,0.015202139,0.002025097,0.066926719,0.133386295,0,0.002257119,0.024356075,0.003802905,0.004076543,0.016222618,0,0.024117089,0.010043269,0.002174317,0.003211739,0.030346324,0.005812291,0,0.003052041,0,0.030445037,0.002937054,0,0,0.019626137,0.131201138,0,0,0,0.004129485,0,0,0,0.006319876,0.007100855,0.013849623,0.034457966,0,0.060575382,0
IAC3_A,acr,fish,0,0,0,0,0,0.015005662,0,0,0.017549656,0,0.005246693,0.001178788,0.004239285,0.004315934,0,0.136387967,0.043339472,0.005153143,0.011924004,0.003947444,0,0.120724903,0.14484841,0,0,0.024178688,0.00209832,0.004652826,0.003929745,0,0.014643703,0,0,0.002717152,0.014873867,0.002702187,0,0.00369946,0,0.091163226,0.002370406,0,0,0.008135458,0.132718697,0,0,0,0,0,0,0,0,0.011178215,0.016421866,0.046123196,0,0.104531626,0
IAC4_A,acr,fish,0.000722144,0.000784212,0,0.000774185,0,0.0085323,0,0,0.033270533,0.001095478,0.002851942,0.003319456,0.006945104,0.002537791,0.002231536,0.158442422,0.075232228,0.007427499,0.023385602,0.013367588,0.004075676,0.079049665,0.111930908,0,0.001147285,0.02442865,0.002890615,0.004243069,0.010321518,0,0.036151299,0.009216523,0,0.002372803,0.021164312,0.004241041,0,0.00364878,0,0.051235792,0.0032168,0,0.015963788,0,0.130758443,0,0,0,0.002020236,0,0,0,0.004921837,0.008964408,0.013600052,0.03682379,0,0.076692687,0
IAC5_A,acr,fish,0.000445484,0.000521838,0,0.000845517,0,0.007590027,0,0,0.032981877,0,0.002072847,0.002959705,0.007009499,0.00169562,0.001617079,0.145068614,0.085300023,0.005725609,0.025168032,0.013883017,0.0021103,0.078007158,0.112786146,0,0.001704619,0.023758664,0.004136763,0.00475743,0.014866183,0,0.024484934,0.008561468,0.001679,0.002530828,0.022721189,0.003518263,0,0.003376376,0,0.043120781,0.002376841,0,0.016427131,0,0.152292767,0,0,0,0.002755323,0,0,0,0.005309714,0.0059777,0.012323197,0.040978359,0,0.076554079,0
IBB1_A,bb,fish,0,0,0,0.002028012,0,0,0,0,0.022189139,0.000490127,0.004330186,0.002214788,0.005808028,0.003077384,0.00113992,0.20248645,0.07777488,0.010057447,0.015811917,0.009467595,0.001575619,0.089634629,0.18918727,0.001052069,0,0.021493472,0.002587579,0.002907876,0.003616966,0,0.016634716,0.001808494,0,0.002833254,0.007389727,0.003357161,0,0.003304266,0,0.064855719,0.002139503,0,0,0.010130884,0.066853704,0.001403232,0,0,0,0,0,0,0.001337254,0.018579164,0.014727366,0.034731702,0,0.080982499,0
IBB2_A,bb,fish,0.000258086,0,0.000260125,0.003286712,0.000916879,0.000259239,0,0.000302478,0.023031878,0.000726963,0.004194284,0.003694809,0.006600796,0.003695855,0.001326923,0.198997238,0.102676075,0.013440767,0.01679627,0.01201031,0.003854406,0.074802005,0.217256928,0.004022714,0.001803863,0.028699645,0.003175153,0.00290467,0.004352623,0.000813229,0.015271676,0.003320152,0.000389213,0.002968791,0.011955383,0.004710319,0,0.003517685,0.00052083,0.052225591,0.002707793,0,0,0.006595365,0.062883217,0.001973891,0,0,0,0,0,0,0.001229098,0.009834962,0.006748356,0.023579121,0.001851501,0.050162937,0.003393197
IBB3_A,bb,fish,0,0,0,0.001220738,0,0,0,0,0.019263281,0.000632408,0.004505848,0.002591277,0.005999256,0.004300766,0.001364517,0.191367852,0.057795933,0.011452796,0.013639367,0.009240198,0.002016978,0.098357089,0.178515871,0.001400105,0,0.020463469,0.001959124,0.003016417,0.002862412,0.000797722,0.009684185,0.001137816,0,0.00321642,0.009148158,0.004552198,0,0.004192362,0,0.076312893,0.001878171,0,0,0.010374566,0.06568774,0.001649147,0,0,0,0.001302163,0,0,0.001094868,0.025830845,0.014259038,0.03825397,0.002118786,0.09654325,0
IBB4_A,bb,fish,0,0,0,0.002968235,0,0,0,0,0.022774294,0,0.003691603,0.001930065,0.006295029,0.002724399,0.001106834,0.203996416,0.072160683,0.008259659,0.016251963,0.009040397,0,0.089897997,0.187737507,0.001490827,0,0.033501748,0.00248246,0.003064064,0.003697558,0,0.015630798,0.001863621,0,0.002936774,0.006372958,0.004118958,0,0.003560498,0,0.062733081,0.002369606,0,0,0.007794326,0.070235208,0.001297305,0,0,0,0,0,0,0.001655114,0.013458217,0.011504681,0.032281033,0.001680638,0.08397522,0.003460227
IBB5_A,bb,fish,0,0,0,0.002166079,0,0,0,0,0.02213397,0,0.00406372,0.00135467,0.006148959,0.00355237,0,0.212860728,0.06675923,0.008525826,0.011438658,0.007422391,0,0.101684149,0.192525261,0.001444747,0,0.021837986,0.002406105,0.002347603,0.002999812,0,0.010502324,0,0,0.00277774,0.003404771,0.003833453,0,0.00348203,0,0.076440988,0.002111571,0,0,0.006397853,0.073200636,0,0,0,0,0,0,0,0,0.01193184,0.009091151,0.033802478,0.002324652,0.089026249,0
