sample,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,taxon,species
MFM9_A,-8.693343827,-3.351981684,-2.72335408,-3.939263415,2.217783143,3.516519784,1.55861508,-2.493947767,-0.153387835,-1.196834971,mollusc,fm
FP1_A,2.197539302,-5.869917747,-0.651954661,0.387833353,0.528645047,-0.431335271,-1.067521163,0.012451839,1.75920677,0.088336373,frog,fp
IGS1_A,2.184049708,3.655889496,-1.013310845,-3.01370804,0.630274863,-4.327321674,0.108154633,-3.103110282,1.151268828,2.007536876,fish,gs
IGS2_A,2.144131166,3.846610089,-1.45916485,-3.448801441,0.896909307,-4.853586047,0.570577699,-3.353668355,1.135284737,1.7628985,fish,gs
IGS3_A,1.666530654,3.907365362,-0.812272696,-3.313306134,0.602383267,-4.022595401,-1.079010055,-3.525138514,0.118294539,-0.38130687,fish,gs
IGS6_A,2.572963199,4.898699406,-2.011070544,-5.212647492,-2.226875133,-5.324361904,0.384828242,-3.618412425,0.588578377,1.933405957,fish,gs
IGS7_A,2.055923842,4.876437561,-1.354267283,-4.873757813,1.652855938,-6.196988044,0.178022423,-5.233130453,0.609294388,-1.097424506,fish,gs
IGS8_A,2.95314929,5.81090047,-2.442581615,-4.691708538,0.183128827,-5.234931398,0.783845893,-4.103365914,1.731318177,1.472830843,fish,gs
IGBD.C._A,0.938435044,-1.321793459,1.970278146,-1.852562705,-2.788679859,0.434296288,-0.747200649,0.893595128,0.325023245,0.494957064,fish,gsd
IGBD1_A,0.59905879,0.382884827,1.736652264,-1.520114598,-2.356980736,0.644734748,-0.105392707,1.251183395,-0.074161218,-0.488457437,fish,gsd
IGBD1a_A,0.538170301,0.333600073,1.902219698,-1.704649691,-2.412768114,0.285354595,0.602785728,1.254393542,0.381322381,0.272895887,fish,gsd
IGBD2_A,0.664741024,1.09058556,2.926994673,-1.987997765,-2.88795256,0.641467404,1.01684587,1.467077077,0.774522712,0.721578068,fish,gsd
IGBD2b_A,0.700105598,1.279940623,2.961648728,-2.187388844,-2.538558322,0.063459236,1.4003831,0.809345831,0.954721451,1.183788125,fish,gsd
IGBD3_A,-0.55204717,-0.792819901,3.547749619,-0.723385594,-1.22006822,0.706187588,-1.431082971,0.306041345,0.102168131,-0.053506537,fish,gsd
IGBD3a_A,-0.704214361,-0.199761194,4.606260594,-0.208633774,-1.0154317,1.442623169,-0.882066352,-0.620059499,0.34721797,0.713395013,fish,gsd
IGBD4_A,0.718053332,0.809827558,2.656454877,-1.29597174,-1.87652063,1.194091233,-0.025418968,0.566386768,-0.167311014,0.000664103,fish,gsd
IGBD4a_A,0.718506177,0.917909428,2.764778097,-1.5100417,-1.982032144,0.670629309,0.941036845,0.428675426,0.482192521,0.922250138,fish,gsd
IGBD7_A,0.586076428,1.096343753,3.458634784,-1.90897571,-2.558835903,0.718468545,0.789875091,1.35241321,1.165168872,0.712444531,fish,gsd
IHHC1_A,1.269731045,2.924886863,0.554315197,-0.597674527,-2.473390443,0.550058487,0.582308615,2.60521836,-0.419359622,-1.616392146,fish,hhc
IHHC2_A,2.445093838,2.368034,-0.228002592,-0.813284055,-1.814120285,0.794544499,-0.194665372,1.733369697,0.817116392,-1.849996915,fish,hhc
IHHC3_A,1.086767765,1.122423038,0.429080964,0.363449482,-0.641029602,0.822119542,0.07057507,0.921407474,-0.160997304,-1.125610355,fish,hhc
ILMB1_A,-0.338053381,0.384619431,1.250195841,1.102444807,0.17823929,0.64343321,-0.097307258,0.268931172,0.579030233,-1.46857599,fish,lmb
ILMB2_A,0.729002784,1.377974187,1.427397778,-0.241939543,-0.736254294,0.804250321,0.476874471,0.819890201,0.374738461,-1.96793251,fish,lmb
ILMB3_A,0.794637018,0.280528892,1.105034573,-0.039646173,-0.398965269,0.29550756,0.140875986,0.436477636,0.493231888,-1.497182759,fish,lmb
ILMB4_A,0.548739362,0.371429461,2.407388694,-0.037594837,-0.185018504,0.896295898,-0.345928008,0.681268002,0.327610666,-1.895219725,fish,lmb
